balance,row
-30.535188247108128,5682
-34.58078793501901,5688
-33.671317684843565,5700
-30.3406494258793,5721
-33.68230108100499,5727
-36.504620954978954,5734
-34.54720727092206,5748
-32.95431172522267,5773
-38.875875612144796,5789
-38.00543620883912,5792
-36.671574753247505,5796
-40.521820694067515,5824
-38.17428821341276,5839
-37.18097824295615,5845
-39.99469147583107,5870
-39.08363958505962,5890
-38.19196387845431,5894
-36.98003568517144,5899
-35.85849236877012,5906
-33.32105160937011,5920
-36.27442599670203,5929
-35.12015939005294,5932
-31.95128938293019,5941
-35.66257601772546,5946
-34.645274168058386,5974
-36.57241894290281,5991
-34.08398455217792,6015
-30.97612349184886,6030
-30.095709474604696,6061
-32.90145299663805,6070
-35.573894227938915,6088
-34.304281716170586,6119
-36.35291319492614,6123
-35.358690348302325,6147
-34.47790484432921,6162
-33.53661253605568,6168
-30.755189151923638,6186
-33.97804423297826,6202
-36.43829527900334,6205
-35.299308119814,6209
-38.805890849087874,6219
-35.4647584204496,6235
-34.458970758878536,6252
-37.70660640874881,6263
-35.89056569466658,6275
-34.51657736415649,6306
-32.65966060360398,6321
-31.65699209559486,6329
-29.888234855008918,6377
-28.294752988976757,6410
-25.452203635022492,6416
-22.536368609441585,6422
-25.433556558156287,6436
-28.46752632035521,6441
-26.677842148372438,6465
-29.943920489443634,6473
